close,bid,ask,bid_volume,ask_volume,volume
4501.399019700897,4501.274019700897,4501.524019700897,2099,1320,1710
4499.301590106073,4499.176590106073,4499.426590106073,942,749,846
4502.5239213475825,4502.3989213475825,4502.6489213475825,833,2032,1433
4503.008639390409,4502.758639390409,4503.258639390409,609,1286,948
4502.111414257025,4501.736414257025,4502.486414257025,1200,1717,1459
4501.051939400952,4500.926939400952,4501.176939400952,1087,614,851
4500.330587191627,4500.205587191627,4500.455587191627,1229,2390,1810
4501.837856516908,4501.712856516908,4501.962856516908,1036,781,909
4497.508138112419,4497.383138112419,4497.633138112419,651,1496,1074
4495.176155311997,4494.801155311997,4495.551155311997,1657,842,1250
4496.268438130107,4496.143438130107,4496.393438130107,996,2343,1670
4497.553613247123,4497.303613247123,4497.803613247123,677,1284,981
4497.8224800522175,4497.5724800522175,4498.0724800522175,1601,2104,1853
4495.503492218958,4495.253492218958,4495.753492218958,1978,785,1382
4495.587501277846,4495.462501277846,4495.712501277846,940,2373,1657
4494.548049052026,4494.423049052026,4494.673049052026,818,1737,1278
4493.691919498676,4493.566919498676,4493.816919498676,1235,2246,1741
4491.466018233702,4491.341018233702,4491.591018233702,902,1091,997
4491.681963332793,4491.431963332793,4491.931963332793,1315,1296,1306
4491.614097030763,4491.364097030763,4491.864097030763,977,1072,1025
4489.070094368853,4488.945094368853,4489.195094368853,1063,582,823
4488.277171994333,4488.152171994333,4488.402171994333,2610,949,1780
4486.365076280167,4486.240076280167,4486.490076280167,837,1062,950
4485.258975674625,4485.133975674625,4485.383975674625,987,2368,1678
4483.653204596835,4483.403204596835,4483.903204596835,1799,686,1243
4484.589854311915,4484.464854311915,4484.714854311915,2286,1699,1993
4487.793998918517,4487.668998918517,4487.918998918517,1209,1480,1345
4491.506877629023,4491.381877629023,4491.631877629023,2166,735,1451
4488.476589629027,4488.226589629027,4488.726589629027,1072,1695,1384
4490.513339537133,4490.263339537133,4490.763339537133,1974,1385,1680
