close,bid,ask,bid_volume,ask_volume,volume
4503.753153664492,4503.628153664492,4503.878153664492,1661,1606,1634
4505.8380802012625,4505.7130802012625,4505.9630802012625,752,1503,1128
4503.479952308515,4503.354952308515,4503.604952308515,1842,635,1239
4500.3634660993675,4500.2384660993675,4500.4884660993675,1194,2509,1852
4500.658651753865,4500.533651753865,4500.783651753865,1117,2472,1795
4502.974247966685,4502.849247966685,4503.099247966685,858,1147,1003
4504.423442058266,4504.048442058266,4504.798442058266,901,776,839
4503.1453204561985,4502.7703204561985,4503.5203204561985,1291,1674,1483
4503.0119649757735,4502.8869649757735,4503.1369649757735,1135,2226,1681
4500.365333306336,4500.240333306336,4500.490333306336,936,865,901
4499.355367869008,4499.230367869008,4499.480367869008,1532,1573,1553
4502.8615409927015,4502.4865409927015,4503.2365409927015,1157,1620,1389
4498.6232138142705,4498.4982138142705,4498.7482138142705,1247,796,1022
4499.715585810638,4499.340585810638,4500.090585810638,843,1924,1384
4504.618374910905,4504.493374910905,4504.743374910905,1454,1215,1335
4507.689012987336,4507.564012987336,4507.814012987336,1914,667,1291
4511.213492818967,4511.088492818967,4511.338492818967,1167,1504,1336
4509.588970625675,4509.463970625675,4509.713970625675,1530,2079,1805
4504.0940975213525,4503.9690975213525,4504.2190975213525,920,1209,1065
4503.482338263755,4503.357338263755,4503.607338263755,2478,1015,1747
4504.175297872983,4504.050297872983,4504.300297872983,1209,696,953
4504.4245526255245,4504.2995526255245,4504.5495526255245,1164,1315,1240
4504.0251629394925,4503.9001629394925,4504.1501629394925,582,1631,1107
4502.154128227748,4501.779128227748,4502.529128227748,1422,2045,1734
4503.925410208896,4503.800410208896,4504.050410208896,1879,1524,1702
4505.193279028733,4505.068279028733,4505.318279028733,1186,825,1006
4500.397076613339,4500.272076613339,4500.522076613339,1902,1927,1915
4501.966518734853,4501.716518734853,4502.216518734853,2086,1471,1779
4502.594413740756,4502.344413740756,4502.844413740756,1934,1441,1688
4502.449457603856,4502.074457603856,4502.824457603856,1128,1649,1389
4503.67757888175,4503.55257888175,4503.80257888175,2243,836,1540
4501.147286766811,4501.022286766811,4501.272286766811,2684,1303,1994
4497.57539094838,4497.32539094838,4497.82539094838,1842,1313,1578
4497.578031254892,4497.453031254892,4497.703031254892,2025,1580,1803
4496.3118054315155,4496.1868054315155,4496.4368054315155,2375,1512,1944
4498.296489229023,4498.046489229023,4498.546489229023,1161,2512,1837
4500.486718785232,4500.361718785232,4500.611718785232,1731,874,1303
4496.7712522381225,4496.5212522381225,4497.0212522381225,1110,2095,1603
4497.682877254051,4497.557877254051,4497.807877254051,1591,1752,1672
4495.113210892686,4494.988210892686,4495.238210892686,1786,1651,1719
4495.117294998474,4494.992294998474,4495.242294998474,2331,1444,1888
4487.757744735755,4487.632744735755,4487.882744735755,2353,1038,1696
4487.4479635443995,4487.3229635443995,4487.5729635443995,1079,1008,1044
4492.04583020761,4491.67083020761,4492.42083020761,1833,1170,1502
4491.234435900707,4491.109435900707,4491.359435900707,1775,944,1360
4492.304487864724,4492.179487864724,4492.429487864724,716,935,826
4489.363638351487,4489.238638351487,4489.488638351487,1553,916,1235
4492.316199180551,4492.191199180551,4492.441199180551,1498,1175,1337
4494.614537173791,4494.239537173791,4494.989537173791,1191,542,867
4491.973324691479,4491.848324691479,4492.098324691479,1987,866,1427
4485.047859751462,4484.922859751462,4485.172859751462,1309,724,1017
4485.712903975767,4485.462903975767,4485.962903975767,1342,619,981
4488.655713867578,4488.405713867578,4488.905713867578,1557,1504,1531
4487.200289903677,4487.075289903677,4487.325289903677,1360,1391,1376
4489.202783683883,4489.077783683883,4489.327783683883,1260,1855,1558
4490.315971650353,4490.065971650353,4490.565971650353,1560,1429,1495
4495.376829994593,4495.126829994593,4495.626829994593,926,2323,1625
4493.508328291373,4493.258328291373,4493.758328291373,1367,1342,1355
4494.2368211573785,4493.8618211573785,4494.6118211573785,616,1161,889
4493.882315384678,4493.757315384678,4494.007315384678,1693,1946,1820
4495.484691168582,4495.359691168582,4495.609691168582,2504,1473,1989
4495.324166931959,4495.199166931959,4495.449166931959,876,1271,1074
4492.228394837358,4491.978394837358,4492.478394837358,1305,698,1002
4490.954245014788,4490.829245014788,4491.079245014788,1632,1825,1729
4488.837575968822,4488.712575968822,4488.962575968822,1265,1354,1310
4489.822894022936,4489.697894022936,4489.947894022936,1126,2369,1748
4491.73949838947,4491.61449838947,4491.86449838947,2155,1288,1722
4486.0928742015585,4485.9678742015585,4486.2178742015585,1018,1475,1247
4486.766315534433,4486.641315534433,4486.891315534433,941,908,925
4484.321681199276,4484.196681199276,4484.446681199276,933,1406,1170
4481.762470000298,4481.512470000298,4482.012470000298,1514,859,1187
4484.606795399521,4484.356795399521,4484.856795399521,2207,1152,1680
4481.266684509126,4480.891684509126,4481.641684509126,767,1348,1058
4481.483040017792,4481.358040017792,4481.608040017792,1302,2415,1859
4481.020463229033,4480.895463229033,4481.145463229033,2629,1268,1949
4478.202967156638,4478.077967156638,4478.327967156638,1122,579,851
4479.576667318888,4479.451667318888,4479.701667318888,1697,590,1144
4480.592106696838,4480.342106696838,4480.842106696838,1123,1822,1473
4475.505156836529,4475.130156836529,4475.880156836529,1757,1928,1843
4474.631258760956,4474.256258760956,4475.006258760956,815,1298,1057
4477.746218971057,4477.621218971057,4477.871218971057,846,1875,1361
4479.129504445702,4479.004504445702,4479.254504445702,2504,907,1706
4478.495958958145,4478.370958958145,4478.620958958145,1869,838,1354
4479.15196171832,4479.02696171832,4479.27696171832,1980,931,1456
4476.9813988539645,4476.6063988539645,4477.3563988539645,1434,1887,1661
4478.015802978526,4477.765802978526,4478.265802978526,2640,987,1814
4477.52109031703,4477.27109031703,4477.77109031703,2147,846,1497
4479.129665977264,4478.879665977264,4479.379665977264,924,1061,993
4477.957020050944,4477.707020050944,4478.207020050944,2211,1026,1619
4478.696075714741,4478.571075714741,4478.821075714741,1825,1196,1511
4477.786677530311,4477.661677530311,4477.911677530311,916,1007,962
4479.302096409642,4479.177096409642,4479.427096409642,1328,1149,1239
4480.075639782515,4479.825639782515,4480.325639782515,1131,1050,1091
4482.20656983358,4481.95656983358,4482.45656983358,1506,1933,1720
4483.808683234185,4483.433683234185,4484.183683234185,931,1320,1126
4477.729250787905,4477.604250787905,4477.854250787905,1751,1190,1471
4476.385945680131,4476.135945680131,4476.635945680131,1623,1210,1417
4478.021663962471,4477.771663962471,4478.271663962471,2043,866,1455
4477.157006977504,4477.032006977504,4477.282006977504,2730,1183,1957
4476.775290768013,4476.525290768013,4477.025290768013,1422,1751,1587
4479.984642376728,4479.734642376728,4480.234642376728,1133,612,873
4481.569219180663,4481.444219180663,4481.694219180663,1517,998,1258
4480.942112538986,4480.817112538986,4481.067112538986,1749,1832,1791
4482.6430139387485,4482.5180139387485,4482.7680139387485,1255,758,1007
4483.901310609975,4483.651310609975,4484.151310609975,1529,856,1193
4485.766549714492,4485.516549714492,4486.016549714492,1497,944,1221
4482.098732565747,4481.973732565747,4482.223732565747,995,608,802
4479.88033037005,4479.63033037005,4480.13033037005,1256,1441,1349
4477.7957524619715,4477.6707524619715,4477.9207524619715,1846,649,1248
4479.515689711011,4479.390689711011,4479.640689711011,2709,1252,1981
4477.919006062021,4477.669006062021,4478.169006062021,904,733,819
4481.671902587182,4481.546902587182,4481.796902587182,1873,1198,1536
4481.705147392309,4481.580147392309,4481.830147392309,2682,1073,1878
4481.556264395397,4481.431264395397,4481.681264395397,1619,1154,1387
4483.603618892639,4483.478618892639,4483.728618892639,498,1373,936
4484.03603991033,4483.78603991033,4484.28603991033,923,802,863
4488.831285899912,4488.706285899912,4488.956285899912,1030,1201,1116
4487.953577947431,4487.703577947431,4488.203577947431,1362,1669,1516
